Product Name,Product Price,Table Info
Sữa Meiji số 9 nội địa Nhật 800g (1 - 3 tuổi),415.000 ₫,"'Meiji', 'Nhật Bản', 'Nhật Bản', '100023', '1 - 3 tuổi'"
Sữa Meiji số 0 nội địa Nhật 800g (0 - 1 tuổi),545.000 ₫,"'Meiji', 'Nhật Bản', 'Nhật Bản', '100024', '0 - 1 tuổi', '800g'"
Sữa Meiji Infant Formula 800g (0 - 1 tuổi),515.000 ₫,"'Meiji', 'Nhật Bản', 'Nhật Bản', '113799', '0 - 1 tuổi'"
Sữa Meiji Growing Up Formula EZcube 448g (1 - 3 tuổi),325.000 ₫,"'Meiji', 'Nhật Bản', 'Nhật Bản', '113800', '1 - 3 tuổi', '448g'"
Sữa Meiji số 9 nội địa Nhật dạng thanh 672g (1 - 3 tuổi),479.000 ₫,"'Meiji', 'Nhật Bản', 'Nhật Bản', '103687', '1 - 3 tuổi', '672g'"
Sữa Meiji số 0 nội địa Nhật dạng thanh 648g (0 - 1 tuổi),528.000 ₫,"'Meiji', 'Nhật Bản', 'Nhật Bản', '101131', '0 - 1 tuổi'"
Sữa Morinaga Hagukumi số 1 850g (0 - 6 tháng),579.000 ₫,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122132', '0 - 6 tháng', '850g'"
Sữa Morinaga Hagukumi số 1 320g (0 - 6 tháng),265.000 ₫,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122131', '0 - 6 tháng', '320g'"
Sữa Morinaga Chimil số 2 850g (6 - 36 tháng tuổi),515.000 ₫,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122134', '6 - 36 tháng', '850g'"
Sữa Morinaga Chimil số 2 320g (6 - 36 tháng),250.000 ₫,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122133', '6 - 36 tháng', '320g'"
Sữa Morinaga Kodomil số 3 hương dâu 850g (Trên 3 tuổi),459.000 ₫,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122138', 'Trên 3 tuổi', 'Dâu', '850g'"
Sữa Morinaga Kodomil số 3 hương vani 850g (Trên 3 tuổi),498.000 ₫,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122136', 'Trên 3 tuổi', 'Vani', '850g'"
