Product Name,Product Price,Table Info,ID Product,Country,Age Usage,Trademarks,Catergory
Sữa Meiji số 9 nội địa Nhật 800g (1 - 3 tuổi),415000.0,"'Meiji', 'Nhật Bản', 'Nhật Bản', '100023', '1 - 3 tuổi'",100023,Châu Á,Giai đoạn thiếu niên,Meiji,Bé uống
Sữa Meiji số 0 nội địa Nhật 800g (0 - 1 tuổi),545000.0,"'Meiji', 'Nhật Bản', 'Nhật Bản', '100024', '0 - 1 tuổi', '800g'",100024,Châu Á,Giai đoạn thiếu niên,Meiji,Bé uống
Sữa Meiji Infant Formula 800g (0 - 1 tuổi),515000.0,"'Meiji', 'Nhật Bản', 'Nhật Bản', '113799', '0 - 1 tuổi'",113799,Châu Á,Giai đoạn thiếu niên,Meiji,Bé uống
Sữa Meiji Growing Up Formula EZcube 448g (1 - 3 tuổi),325000.0,"'Meiji', 'Nhật Bản', 'Nhật Bản', '113800', '1 - 3 tuổi', '448g'",113800,Châu Á,Giai đoạn thiếu niên,Meiji,Bé uống
Sữa Meiji số 9 nội địa Nhật dạng thanh 672g (1 - 3 tuổi),479000.0,"'Meiji', 'Nhật Bản', 'Nhật Bản', '103687', '1 - 3 tuổi', '672g'",103687,Châu Á,Giai đoạn thiếu niên,Meiji,Bé uống
Sữa Meiji số 0 nội địa Nhật dạng thanh 648g (0 - 1 tuổi),528000.0,"'Meiji', 'Nhật Bản', 'Nhật Bản', '101131', '0 - 1 tuổi'",101131,Châu Á,Giai đoạn thiếu niên,Meiji,Bé uống
Sữa Morinaga Hagukumi số 1 850g (0 - 6 tháng),579000.0,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122132', '0 - 6 tháng', '850g'",122132,Châu Á,Thời kì răng sữa,Morinaga,Bé uống
Sữa Morinaga Hagukumi số 1 320g (0 - 6 tháng),265000.0,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122131', '0 - 6 tháng', '320g'",122131,Châu Á,Thời kì răng sữa,Morinaga,Bé uống
Sữa Morinaga Chimil số 2 850g (6 - 36 tháng tuổi),515000.0,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122134', '6 - 36 tháng', '850g'",122134,Châu Á,Thời kì răng sữa,Morinaga,Bé uống
Sữa Morinaga Chimil số 2 320g (6 - 36 tháng),250000.0,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122133', '6 - 36 tháng', '320g'",122133,Châu Á,Thời kì răng sữa,Morinaga,Bé uống
Sữa Morinaga Kodomil số 3 hương dâu 850g (Trên 3 tuổi),459000.0,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122138', 'Trên 3 tuổi', 'Dâu', '850g'",122138,Châu Á,Giai đoạn thiếu niên,Morinaga,Bé uống
Sữa Morinaga Kodomil số 3 hương vani 850g (Trên 3 tuổi),498000.0,"'Morinaga', 'Nhật Bản', 'Nhật Bản', '122136', 'Trên 3 tuổi', 'Vani', '850g'",122136,Châu Á,Giai đoạn thiếu niên,Morinaga,Bé uống
Sữa Aptamil New Zealand số 2 900g (12 - 24 tháng),665000.0,"'Aptamil', 'Newzealand', '126083', '12 - 24 tháng', '900g'",126083,Châu Á,Thời kì răng sữa,Aptamil,Bé uống
Sữa Aptamil New Zealand số 1 900g (0 - 12 tháng),735000.0,"'Aptamil', 'Newzealand', '126082', '0 - 12 tháng', '900g'",126082,Châu Á,Giai đoạn thiếu niên,Aptamil,Bé uống
Sữa Aptamil Đức số 2 800g (6 - 12 tháng),620000.0,"'Aptamil', 'Pháp', 'Ireland', '101109', '6 - 12 tháng'",101109,Châu Âu,Thời kì răng sữa,Aptamil,Bé uống
Sữa Aptamil Đức số 3 800g (Trên 12 tháng),670000.0,"'Aptamil', 'Pháp', 'Ireland', '101110', 'Trên 12 tháng', '800g'",101110,Châu Âu,Thời kì răng sữa,Aptamil,Bé uống
Sữa dê Kabrita số 1 400g (0 - 12 tháng),385000.0,"'Kabrita', 'Hà Lan', 'Hà Lan', '807294', '0 - 12 tháng', '400g'",807294,Châu Âu,Thời kì răng sữa,Aoi,Bé uống
Sữa dê Kabrita số 1 800g (0 - 12 tháng),885000.0,"'Kabrita', 'Hà Lan', 'Hà Lan', '807295', '0 - 12 tháng', '800g'",807295,Châu Âu,Thời kì răng sữa,Richell,Bé uống
Sữa dê Kabrita số 2 800g (12 - 24 tháng),885000.0,"'Kabrita', 'Hà Lan', 'Hà Lan', '807296', '12 - 24 tháng', '800g'",807296,Châu Âu,Thời kì răng sữa,Aoi,Bé uống
Sữa dê Kabrita số 3 800g (Trên 24 tháng),885000.0,"'Kabrita', 'Hà Lan', 'Hà Lan', '807297', 'Trên 2 tuổi', '800g'",807297,Châu Âu,Giai đoạn thiếu niên,Pigeon,Bé uống
Sữa Nan Nga số 3 800g (Trên 1 tuổi),490000.0,"'Nestlé', 'Thụy Sĩ', 'Thụy Sĩ', '101106', '1 - 3 tuổi'",101106,Châu Âu,Giai đoạn thiếu niên,Nestlé,Bé uống
Sữa Blackmores Newborn số 1 900g (0 - 6 tháng),550000.0,"'Blackmores', 'Úc', 'Úc', '121918', '0 - 6 tháng', '900g'",121918,Châu Đại Dương,Thời kì răng sữa,Moaz Bébé,Bé uống
Sữa Blackmores Follow-on số 2 900g (6 - 12 tháng),550000.0,"'Blackmores', 'Úc', 'Úc', '121919', '6 - 12 tháng', '900g'",121919,Châu Đại Dương,Thời kì răng sữa,KUKU,Bé uống
Sữa Blackmores Toddler số 3 900g (Trên 12 tháng),535000.0,"'Blackmores', 'Úc', 'Úc', '121920', 'Trên 12 tháng'",121920,Châu Đại Dương,Thời kì răng sữa,Moyuum,Bé uống
